cca2,ccn3,cca3,cioc,independent,status,unMember,region,subregion,landlocked,area,flag,population,fifa,startOfWeek
"TW","158","TWN","TPE",False,"officially-assigned",False,"Asia","Eastern Asia",False,36193,"🇹🇼",23503349,"TPE","monday"
"MO","446","MAC",,False,"officially-assigned",False,"Asia","Eastern Asia",False,30,"🇲🇴",649342,"MAC","monday"
"HK","344","HKG","HKG",False,"officially-assigned",False,"Asia","Eastern Asia",False,1104,"🇭🇰",7500700,"HKG","monday"
"CN","156","CHN","CHN",True,"officially-assigned",True,"Asia","Eastern Asia",False,9706961,"🇨🇳",1402112000,"CHN","monday"
