cca2,ccn3,cca3,cioc,independent,status,unMember,region,subregion,landlocked,area,flag,population,fifa,startOfWeek
"UA","804","UKR","UKR",True,"officially-assigned",True,"Europe","Eastern Europe",False,603500,"🇺🇦",44134693,"UKR","monday"
"GB","826","GBR","GBR",True,"officially-assigned",True,"Europe","Northern Europe",False,242900,"🇬🇧",67215293,,"monday"
"KP","408","PRK","PRK",True,"officially-assigned",True,"Asia","Eastern Asia",False,120538,"🇰🇵",25778815,"PRK","monday"
