cca2,ccn3,cca3,independent,status,unMember,region,subregion,landlocked,area,flag,population,startOfWeek
"IO","086","IOT",False,"officially-assigned",False,"Africa","Eastern Africa",False,60,"🇮🇴",3000,"monday"
"IN","356","IND",True,"officially-assigned",True,"Asia","Southern Asia",False,3287590,"🇮🇳",1380004385,"monday"
